institution_id,year,combination_id,disease_1,disease_2,disease_3,disease_4,patient_count
INST001,2015,C001,Diabetes,Hypertension,,,90
INST001,2015,C002,Diabetes,Chronic kidney disease,,,60
INST001,2015,C003,Hypertension,Ischemic heart disease,,,111
INST001,2015,C004,Diabetes,Obesity,,,104
INST001,2015,C005,Diabetes,Hypertension,Obesity,,76
INST001,2015,C006,COPD,Hypertension,,,58
INST001,2015,C007,Asthma,Allergic/atopic disease,,,28
INST001,2015,C008,Heart failure,Chronic kidney disease,,,38
INST001,2015,C009,Diabetes,Hyperlipidemia,Hypertension,,59
INST001,2015,C010,Hypertension,Stroke,,,16
INST001,2015,C011,Chronic liver disease,Type 2 diabetes mellitus,,,18
INST001,2015,C012,Depression,Generalized anxiety disorder,,,52
INST001,2015,C013,Osteoarthritis,Obesity,,,38
INST001,2015,C014,Rheumatoid arthritis,Osteoporosis,,,29
INST001,2015,C015,Pneumonia,Diabetes,,,48
INST001,2015,C016,COVID-19,Diabetes,,,23
INST001,2015,C017,COVID-19,Hypertension,,,24
INST001,2015,C018,COVID-19,Diabetes,Hypertension,,15
INST001,2015,C019,Tuberculosis,Diabetes,,,22
INST001,2015,C020,Urinary tract infection,Diabetes,,,74
INST001,2015,C021,Diabetes,Chronic kidney disease,Hypertension,,43
INST001,2015,C022,Ischemic heart disease,Diabetes,Hypertension,,56
INST001,2015,C023,Asthma,Obesity,,,96
INST001,2015,C024,COPD,Diabetes,,,20
INST001,2015,C025,Hyperlipidemia,Hypertension,,,58
INST001,2016,C001,Diabetes,Hypertension,,,116
INST001,2016,C002,Diabetes,Chronic kidney disease,,,103
INST001,2016,C003,Hypertension,Ischemic heart disease,,,96
INST001,2016,C004,Diabetes,Obesity,,,66
INST001,2016,C005,Diabetes,Hypertension,Obesity,,119
INST001,2016,C006,COPD,Hypertension,,,54
INST001,2016,C007,Asthma,Allergic/atopic disease,,,18
INST001,2016,C008,Heart failure,Chronic kidney disease,,,25
INST001,2016,C009,Diabetes,Hyperlipidemia,Hypertension,,55
INST001,2016,C010,Hypertension,Stroke,,,17
INST001,2016,C011,Chronic liver disease,Type 2 diabetes mellitus,,,15
