institution_id,year,disease_id,disease_count
INST001,2015,D001,618
INST001,2015,D002,471
INST001,2015,D003,357
INST001,2015,D004,182
INST001,2015,D005,330
INST001,2015,D006,181
INST001,2015,D007,329
INST001,2015,D008,209
INST001,2015,D009,120
INST001,2015,D010,149
INST001,2015,D011,66
INST001,2015,D012,239
INST001,2015,D013,129
INST001,2015,D014,235
INST001,2015,D015,332
INST001,2015,D016,422
INST001,2015,D017,229
INST001,2015,D018,218
INST001,2015,D019,320
INST001,2015,D020,330
INST001,2015,D021,101
INST001,2015,D022,117
INST001,2015,D023,241
INST001,2015,D024,63
INST001,2015,D025,56
INST001,2015,D026,45
INST001,2015,D027,116
INST001,2015,D028,113
INST001,2015,D029,76
INST001,2015,D030,81
INST001,2015,D031,69
INST001,2015,D032,113
INST001,2015,D033,129
INST001,2015,D034,62
INST001,2015,D035,61
INST001,2015,D036,42
INST001,2015,D037,98
INST001,2015,D038,245
INST001,2015,D039,110
INST001,2015,D040,100
INST001,2015,D041,72
INST001,2015,D042,155
INST001,2015,D043,67
INST001,2015,D044,91
INST001,2015,D045,57
INST001,2015,D046,123
INST001,2015,D047,272
INST001,2015,D048,102
INST001,2015,D049,38
INST001,2015,D050,30
INST001,2016,D001,809
INST001,2016,D002,569
INST001,2016,D003,345
INST001,2016,D004,149
INST001,2016,D005,315
INST001,2016,D006,190
INST001,2016,D007,327
INST001,2016,D008,312
INST001,2016,D009,145
INST001,2016,D010,154
INST001,2016,D011,88
INST001,2016,D012,313
INST001,2016,D013,137
INST001,2016,D014,208
INST001,2016,D015,307
INST001,2016,D016,382
INST001,2016,D017,187
INST001,2016,D018,243
INST001,2016,D019,340
INST001,2016,D020,356
INST001,2016,D021,102
INST001,2016,D022,146
INST001,2016,D023,197
INST001,2016,D024,80
INST001,2016,D025,67
INST001,2016,D026,49
INST001,2016,D027,92
INST001,2016,D028,112
INST001,2016,D029,62
INST001,2016,D030,78
INST001,2016,D031,79
INST001,2016,D032,92
INST001,2016,D033,122
INST001,2016,D034,74
INST001,2016,D035,55
INST001,2016,D036,34
INST001,2016,D037,71
INST001,2016,D038,203
INST001,2016,D039,108
INST001,2016,D040,138
INST001,2016,D041,80
INST001,2016,D042,142
INST001,2016,D043,78
INST001,2016,D044,123
INST001,2016,D045,69
INST001,2016,D046,163
INST001,2016,D047,299
INST001,2016,D048,88
INST001,2016,D049,44
INST001,2016,D050,36
INST001,2017,D001,637
INST001,2017,D002,579
INST001,2017,D003,285
INST001,2017,D004,171
INST001,2017,D005,289
INST001,2017,D006,265
INST001,2017,D007,404
INST001,2017,D008,242
INST001,2017,D009,140
INST001,2017,D010,134
INST001,2017,D011,98
INST001,2017,D012,323
INST001,2017,D013,116
INST001,2017,D014,252
INST001,2017,D015,403
INST001,2017,D016,363
INST001,2017,D017,233
INST001,2017,D018,285
INST001,2017,D019,328
INST001,2017,D020,320
INST001,2017,D021,90
INST001,2017,D022,130
INST001,2017,D023,170
INST001,2017,D024,82
INST001,2017,D025,81
INST001,2017,D026,63
INST001,2017,D027,97
INST001,2017,D028,92
INST001,2017,D029,80
INST001,2017,D030,91
INST001,2017,D031,58
INST001,2017,D032,97
INST001,2017,D033,116
INST001,2017,D034,69
INST001,2017,D035,62
INST001,2017,D036,35
INST001,2017,D037,87
INST001,2017,D038,251
INST001,2017,D039,95
INST001,2017,D040,145
INST001,2017,D041,81
INST001,2017,D042,155
INST001,2017,D043,85
INST001,2017,D044,115
INST001,2017,D045,61
INST001,2017,D046,130
INST001,2017,D047,320
INST001,2017,D048,119
INST001,2017,D049,41
INST001,2017,D050,35
INST001,2018,D001,623
INST001,2018,D002,511
INST001,2018,D003,348
INST001,2018,D004,156
INST001,2018,D005,261
INST001,2018,D006,185
INST001,2018,D007,368
INST001,2018,D008,237
INST001,2018,D009,162
INST001,2018,D010,176
INST001,2018,D011,69
INST001,2018,D012,250
INST001,2018,D013,134
INST001,2018,D014,211
INST001,2018,D015,328
INST001,2018,D016,493
INST001,2018,D017,216
INST001,2018,D018,277
INST001,2018,D019,327
INST001,2018,D020,354
INST001,2018,D021,98
INST001,2018,D022,117
INST001,2018,D023,204
INST001,2018,D024,67
INST001,2018,D025,69
INST001,2018,D026,61
INST001,2018,D027,112
INST001,2018,D028,133
INST001,2018,D029,58
INST001,2018,D030,74
INST001,2018,D031,65
INST001,2018,D032,112
INST001,2018,D033,126
INST001,2018,D034,55
INST001,2018,D035,54
INST001,2018,D036,40
INST001,2018,D037,80
INST001,2018,D038,220
INST001,2018,D039,122
INST001,2018,D040,123
INST001,2018,D041,96
INST001,2018,D042,178
INST001,2018,D043,68
INST001,2018,D044,126
INST001,2018,D045,79
INST001,2018,D046,166
INST001,2018,D047,311
INST001,2018,D048,127
INST001,2018,D049,36
INST001,2018,D050,34
INST001,2019,D001,683
INST001,2019,D002,457
INST001,2019,D003,325
INST001,2019,D004,212
INST001,2019,D005,270
INST001,2019,D006,253
INST001,2019,D007,349
INST001,2019,D008,262
INST001,2019,D009,168
INST001,2019,D010,187
INST001,2019,D011,87
INST001,2019,D012,309
INST001,2019,D013,110
INST001,2019,D014,222
INST001,2019,D015,464
INST001,2019,D016,440
INST001,2019,D017,217
INST001,2019,D018,312
INST001,2019,D019,246
INST001,2019,D020,331
INST001,2019,D021,114
INST001,2019,D022,162
INST001,2019,D023,184
INST001,2019,D024,84
INST001,2019,D025,59
INST001,2019,D026,49
INST001,2019,D027,110
INST001,2019,D028,121
INST001,2019,D029,63
INST001,2019,D030,66
INST001,2019,D031,82
INST001,2019,D032,89
INST001,2019,D033,147
INST001,2019,D034,67
INST001,2019,D035,55
INST001,2019,D036,44
INST001,2019,D037,90
INST001,2019,D038,292
INST001,2019,D039,94
INST001,2019,D040,139
INST001,2019,D041,76
INST001,2019,D042,170
INST001,2019,D043,91
INST001,2019,D044,98
INST001,2019,D045,65
INST001,2019,D046,156
INST001,2019,D047,224
INST001,2019,D048,111
INST001,2019,D049,51
INST001,2019,D050,42
INST001,2020,D001,629
INST001,2020,D002,502
INST001,2020,D003,400
INST001,2020,D004,205
INST001,2020,D005,344
INST001,2020,D006,215
INST001,2020,D007,307
INST001,2020,D008,306
INST001,2020,D009,153
INST001,2020,D010,163
INST001,2020,D011,102
INST001,2020,D012,302
INST001,2020,D013,102
INST001,2020,D014,272
INST001,2020,D015,359
INST001,2020,D016,454
INST001,2020,D017,250
INST001,2020,D018,243
INST001,2020,D019,252
INST001,2020,D020,269
INST001,2020,D021,116
INST001,2020,D022,129
INST001,2020,D023,222
INST001,2020,D024,77
INST001,2020,D025,62
INST001,2020,D026,59
INST001,2020,D027,96
INST001,2020,D028,113
INST001,2020,D029,82
INST001,2020,D030,89
INST001,2020,D031,59
INST001,2020,D032,96
INST001,2020,D033,129
INST001,2020,D034,51
INST001,2020,D035,63
INST001,2020,D036,45
INST001,2020,D037,1261
INST001,2020,D038,273
INST001,2020,D039,108
INST001,2020,D040,124
