query_id,year,disease_or_combination,institutions_responded,total_count,status
Q001,2024,Type 2 diabetes mellitus,INST001|INST002|INST003|INST004|INST005|INST006|INST007|INST008|INST009|INST010|INST011|INST012,6820,VALIDATED
Q002,2024,Diabetes + Hypertension,INST001|INST002|INST003|INST004|INST005|INST006|INST007|INST008|INST009|INST010|INST011|INST012,1502,VALIDATED
Q003,2022,Diabetes + Chronic kidney disease,INST001|INST002|INST003|INST004|INST005|INST006|INST007|INST008|INST009|INST010|INST011|INST012,701,VALIDATED
Q004,2020,COVID-19 + Diabetes,INST001|INST002|INST003|INST004|INST005|INST006|INST007|INST008|INST009|INST010|INST011|INST012,1228,VALIDATED
Q005,2026,Hypertension,,0,VALIDATED
Q006,2015,Ischemic heart disease,INST001|INST002|INST003|INST004|INST005|INST006|INST007|INST008|INST009|INST010|INST011|INST012,3756,VALIDATED
Q007,2021,COVID-19 + Hypertension,INST001|INST002|INST003|INST004|INST005|INST006|INST007|INST008|INST009|INST010|INST011|INST012,2225,VALIDATED
Q008,2025,Diabetes + Chronic kidney disease + Hypertension,INST001|INST002|INST003|INST004|INST005|INST006|INST007|INST008|INST009|INST010|INST011|INST012,871,VALIDATED
Q009,2019,Depression + Generalized anxiety disorder,INST001|INST002|INST003|INST004|INST005|INST006|INST007|INST008|INST009|INST010|INST011|INST012,563,VALIDATED
Q010,2023,Asthma + Obesity,INST001|INST002|INST003|INST004|INST005|INST006|INST007|INST008|INST009|INST010|INST011|INST012,987,VALIDATED
